filename,blur_score,contrast_score,resolution_score,overall_score,passed,message
1000-receipt.jpg,342.68,60.18,1.0,0.768,True,Image quality is acceptable.
1001-receipt.jpg,644.72,37.88,1.0,0.842,True,Image quality is acceptable.
1002-receipt.jpg,743.7,65.33,1.0,0.945,True,Image quality is acceptable.
1003-receipt.jpg,819.37,68.0,1.0,0.955,True,Image quality is acceptable.
1004-receipt.jpg,700.31,79.88,1.0,1.0,True,Image quality is acceptable.
1005-receipt.jpg,388.31,49.42,1.0,0.774,True,Image quality is acceptable.
1006-receipt.jpg,3544.4,77.43,0.54,0.898,True,Image quality is acceptable.
1007-receipt.jpg,353.67,39.06,1.0,0.7,True,Image quality is acceptable.
1008-receipt.jpg,1122.03,89.84,1.0,1.0,True,Image quality is acceptable.
1009-receipt.jpg,946.78,56.67,0.72,0.857,True,Image quality is acceptable.
1010-receipt.jpg,448.59,29.05,1.0,0.758,True,Image quality is acceptable.
1011-receipt.jpg,525.09,67.89,1.0,0.955,True,Image quality is acceptable.
1012-receipt.jpg,2346.91,27.83,0.98,0.801,True,Image quality is acceptable.
1013-receipt.jpg,225.65,23.8,1.0,0.515,False,Image quality may affect accuracy: low contrast (try better lighting).
1014-receipt.jpg,565.84,65.71,1.0,0.946,True,Image quality is acceptable.
1015-receipt.jpg,226.6,38.6,1.0,0.571,True,Image quality is acceptable.
1016-receipt.jpg,797.07,80.47,1.0,1.0,True,Image quality is acceptable.
1017-receipt.jpg,231.61,20.79,1.0,0.51,False,Image quality may affect accuracy: low contrast (try better lighting).
1018-receipt.jpg,234.94,52.78,1.0,0.633,True,Image quality is acceptable.
1019-receipt.jpg,2062.64,67.62,0.72,0.899,True,Image quality is acceptable.
1020-receipt.jpg,1718.85,76.65,1.0,0.987,True,Image quality is acceptable.
1021-receipt.jpg,194.75,24.15,1.0,0.485,False,"Image quality may affect accuracy: image appears blurry, low contrast (try better lighting)."
1022-receipt.jpg,416.78,83.8,1.0,0.917,True,Image quality is acceptable.
1023-receipt.jpg,1918.08,72.23,1.0,0.971,True,Image quality is acceptable.
1024-receipt.jpg,606.72,41.1,0.97,0.848,True,Image quality is acceptable.
1025-receipt.jpg,1829.09,48.49,1.0,0.882,True,Image quality is acceptable.
1026-receipt.jpg,881.45,73.43,1.0,0.975,True,Image quality is acceptable.
1027-receipt.jpg,782.07,40.89,1.0,0.853,True,Image quality is acceptable.
1028-receipt.jpg,4800.38,62.0,0.75,0.882,True,Image quality is acceptable.
1029-receipt.jpg,1039.29,81.64,1.0,1.0,True,Image quality is acceptable.
1030-receipt.jpg,1375.62,21.54,0.75,0.731,True,Image quality is acceptable.
1031-receipt.jpg,834.33,72.36,1.0,0.971,True,Image quality is acceptable.
1032-receipt.jpg,638.54,34.93,1.0,0.831,True,Image quality is acceptable.
1033-receipt.jpg,524.51,75.05,1.0,0.981,True,Image quality is acceptable.
1034-receipt.jpg,1121.18,44.79,0.52,0.772,True,Image quality is acceptable.
1035-receipt.jpg,692.37,49.67,0.97,0.88,True,Image quality is acceptable.
1036-receipt.jpg,1059.43,79.28,1.0,0.997,True,Image quality is acceptable.
1037-receipt.jpg,530.78,30.87,1.0,0.816,True,Image quality is acceptable.
1038-receipt.jpg,930.64,40.17,1.0,0.851,True,Image quality is acceptable.
1039-receipt.jpg,855.93,71.86,1.0,0.969,True,Image quality is acceptable.
1040-receipt.jpg,528.67,74.95,1.0,0.981,True,Image quality is acceptable.
1041-receipt.jpg,1121.18,44.79,0.52,0.772,True,Image quality is acceptable.
1042-receipt.jpg,1043.47,71.95,1.0,0.97,True,Image quality is acceptable.
1043-receipt.jpg,91.13,32.19,1.0,0.412,False,Image quality may affect accuracy: image appears blurry.
1044-receipt.jpg,1919.64,56.09,0.52,0.815,True,Image quality is acceptable.
1045-receipt.jpg,935.36,54.87,0.75,0.856,True,Image quality is acceptable.
1046-receipt.jpg,2100.02,76.9,1.0,0.988,True,Image quality is acceptable.
1047-receipt.jpg,71.95,50.26,1.0,0.46,False,Image quality may affect accuracy: image appears blurry.
1048-receipt.jpg,1336.9,75.65,1.0,0.984,True,Image quality is acceptable.
1049-receipt.jpg,702.91,82.33,1.0,1.0,True,Image quality is acceptable.
1050-receipt.jpg,522.24,57.67,1.0,0.916,True,Image quality is acceptable.
1051-receipt.jpg,874.19,68.85,1.0,0.958,True,Image quality is acceptable.
1052-receipt.jpg,1130.53,44.53,0.72,0.812,True,Image quality is acceptable.
1053-receipt.jpg,1619.5,76.24,0.75,0.936,True,Image quality is acceptable.
1054-receipt.jpg,1246.47,37.45,1.0,0.84,True,Image quality is acceptable.
1055-receipt.jpg,725.88,57.82,1.0,0.917,True,Image quality is acceptable.
1056-receipt.jpg,770.18,58.51,1.0,0.919,True,Image quality is acceptable.
1057-receipt.jpg,628.18,69.06,1.0,0.959,True,Image quality is acceptable.
1058-receipt.jpg,280.28,40.16,1.0,0.631,True,Image quality is acceptable.
1059-receipt.jpg,1304.1,70.98,1.0,0.966,True,Image quality is acceptable.
1060-receipt.jpg,211.42,46.6,1.0,0.586,True,Image quality is acceptable.
1061-receipt.jpg,624.76,37.89,0.97,0.836,True,Image quality is acceptable.
1062-receipt.jpg,1397.04,50.72,0.75,0.84,True,Image quality is acceptable.
1063-receipt.jpg,2036.96,73.53,0.52,0.88,True,Image quality is acceptable.
1064-receipt.jpg,238.22,36.51,1.0,0.575,True,Image quality is acceptable.
1065-receipt.jpg,737.76,64.26,1.0,0.941,True,Image quality is acceptable.
1066-receipt.jpg,647.35,50.95,1.0,0.891,True,Image quality is acceptable.
1067-receipt.jpg,481.73,34.68,1.0,0.812,True,Image quality is acceptable.
1068-receipt.jpg,1293.72,32.12,0.72,0.765,True,Image quality is acceptable.
1069-receipt.jpg,1061.15,38.59,1.0,0.845,True,Image quality is acceptable.
1070-receipt.jpg,1343.37,63.71,1.0,0.939,True,Image quality is acceptable.
1071-receipt.jpg,814.32,54.85,0.97,0.899,True,Image quality is acceptable.
1072-receipt.jpg,105.87,30.78,0.97,0.415,False,"Image quality may affect accuracy: image appears blurry, low contrast (try better lighting), low resolution (562x1000px, minimum 600x400px)."
1073-receipt.jpg,1764.04,72.24,0.75,0.921,True,Image quality is acceptable.
1074-receipt.jpg,642.46,41.39,1.0,0.855,True,Image quality is acceptable.
1075-receipt.jpg,189.77,64.21,1.0,0.631,True,Image quality is acceptable.
1076-receipt.jpg,213.26,31.04,1.0,0.53,False,Image quality may affect accuracy: low contrast (try better lighting).
1077-receipt.jpg,587.93,73.66,1.0,0.976,True,Image quality is acceptable.
1078-receipt.jpg,1241.63,71.11,1.0,0.967,True,Image quality is acceptable.
1079-receipt.jpg,1152.46,77.24,1.0,0.99,True,Image quality is acceptable.
1080-receipt.jpg,1261.4,57.41,1.0,0.915,True,Image quality is acceptable.
1081-receipt.jpg,251.9,82.44,0.97,0.746,True,Image quality is acceptable.
1082-receipt.jpg,555.23,56.24,1.0,0.911,True,Image quality is acceptable.
1083-receipt.jpg,1373.1,52.6,1.0,0.897,True,Image quality is acceptable.
1084-receipt.jpg,1206.38,44.13,1.0,0.865,True,Image quality is acceptable.
1085-receipt.jpg,348.36,29.11,1.0,0.658,True,Image quality is acceptable.
1086-receipt.jpg,181.91,18.58,1.0,0.452,False,"Image quality may affect accuracy: image appears blurry, low contrast (try better lighting)."
1087-receipt.jpg,1596.71,70.32,0.54,0.871,True,Image quality is acceptable.
1088-receipt.jpg,330.21,63.41,1.0,0.768,True,Image quality is acceptable.
1089-receipt.jpg,579.03,79.3,1.0,0.997,True,Image quality is acceptable.
1090-receipt.jpg,1936.94,64.92,1.0,0.943,True,Image quality is acceptable.
1091-receipt.jpg,1147.69,83.24,1.0,1.0,True,Image quality is acceptable.
1092-receipt.jpg,474.15,77.93,1.0,0.966,True,Image quality is acceptable.
1093-receipt.jpg,661.72,49.55,1.0,0.886,True,Image quality is acceptable.
1094-receipt.jpg,444.62,48.1,1.0,0.825,True,Image quality is acceptable.
1095-receipt.jpg,516.27,70.13,1.0,0.963,True,Image quality is acceptable.
1096-receipt.jpg,114.65,35.31,1.0,0.447,False,Image quality may affect accuracy: image appears blurry.
1097-receipt.jpg,1366.68,49.1,0.97,0.878,True,Image quality is acceptable.
1098-receipt.jpg,497.05,55.68,1.0,0.906,True,Image quality is acceptable.
1099-receipt.jpg,852.91,73.11,1.0,0.974,True,Image quality is acceptable.
1100-receipt.jpg,887.66,43.91,1.0,0.865,True,Image quality is acceptable.
1101-receipt.jpg,1199.01,59.86,1.0,0.924,True,Image quality is acceptable.
1102-receipt.jpg,1089.58,84.02,1.0,1.0,True,Image quality is acceptable.
1103-receipt.jpg,997.18,55.89,1.0,0.91,True,Image quality is acceptable.
1104-receipt.jpg,237.48,63.96,1.0,0.677,True,Image quality is acceptable.
1105-receipt.jpg,1563.47,69.24,1.0,0.96,True,Image quality is acceptable.
1106-receipt.jpg,840.19,42.09,1.0,0.858,True,Image quality is acceptable.
1107-receipt.jpg,722.57,55.37,1.0,0.908,True,Image quality is acceptable.
1108-receipt.jpg,1720.28,39.34,0.75,0.798,True,Image quality is acceptable.
1109-receipt.jpg,1310.77,51.75,1.0,0.894,True,Image quality is acceptable.
1110-receipt.jpg,439.72,30.03,1.0,0.752,True,Image quality is acceptable.
1111-receipt.jpg,729.76,68.7,1.0,0.958,True,Image quality is acceptable.
1112-receipt.jpg,2188.49,39.01,1.0,0.846,True,Image quality is acceptable.
1113-receipt.jpg,660.4,58.15,1.0,0.918,True,Image quality is acceptable.
1114-receipt.jpg,1121.18,44.79,0.52,0.772,True,Image quality is acceptable.
1115-receipt.jpg,674.36,67.16,1.0,0.952,True,Image quality is acceptable.
1116-receipt.jpg,741.92,57.29,1.0,0.915,True,Image quality is acceptable.
1117-receipt.jpg,602.18,67.97,1.0,0.955,True,Image quality is acceptable.
1118-receipt.jpg,1333.31,66.12,0.75,0.898,True,Image quality is acceptable.
1119-receipt.jpg,808.88,57.49,1.0,0.916,True,Image quality is acceptable.
1120-receipt.jpg,346.59,65.03,1.0,0.79,True,Image quality is acceptable.
1121-receipt.jpg,1488.25,44.14,1.0,0.866,True,Image quality is acceptable.
1122-receipt.jpg,2057.46,66.45,0.72,0.894,True,Image quality is acceptable.
